SK_ID_CURR,TARGET
100001,0.003877779
100005,0.06952283
100013,0.004531866
100028,0.008931773
100038,0.07135242
100042,0.0059824
100057,0.0057978607
100065,0.017724182
100066,0.003731052
100067,0.022212194
100074,0.03543541
100090,0.019191682
100091,0.076952845
100092,0.06940379
100106,0.048430543
100107,0.06866325
100109,0.031365246
100117,0.01306
100128,0.032245457
100141,0.0054381173
100150,0.0073509254
100168,0.0013312312
100169,0.04852251
100170,0.0288755
100171,0.021840712
100172,0.063984
100184,0.06638425
100187,0.05439551
100212,0.08643528
100222,0.024704887
100223,0.004182536
100232,0.0067598023
100241,0.27043182
100245,0.00738346
100253,0.010253144
100256,0.022101399
100271,0.003433901
100278,0.16782555
100280,0.005701489
100306,0.21206835
100311,0.23282567
100312,0.018244047
100330,0.19338152
100331,0.017556408
100352,0.08866495
100358,0.07306603
100367,0.008751744
100382,0.10357993
100384,0.03715628
100385,0.06119921
100386,0.035816204
100399,0.005924118
100404,0.036714684
100416,0.011272247
100422,0.08190078
100426,0.0066768643
100438,0.013129974
100444,0.08215913
100445,0.15879272
100446,0.032823317
100447,0.024773834
100450,0.020178214
100466,0.024577497
100483,0.011500622
100484,0.015725724
100494,0.013752658
100510,0.11717869
100512,0.030697262
100517,0.020430395
100548,0.023423886
100551,0.026177403
100552,0.0339988
100553,0.007155732
100561,0.08057542
100568,0.46801302
100569,0.01292658
100591,0.02957674
100592,0.011270382
100602,0.04443299
100607,0.045974478
100613,0.058273524
100617,0.055248808
100618,0.05112244
100622,0.023975037
100625,0.10197014
100677,0.13349818
100699,0.04807761
100702,0.21693756
100711,0.03857573
100729,0.066676505
100740,0.22845672
100744,0.20445997
100745,0.045714766
100747,0.037865803
100751,0.12678824
100752,0.023188617
100753,0.2061888
100754,0.16070285
100760,0.018304326
100762,0.05513375
100763,0.088602915
100765,0.01155559
100770,0.032303464
100772,0.0065257936
100777,0.01576897
100791,0.01170119
100792,0.0018486265
100797,0.0084552765
100823,0.01134285
100826,0.017601693
100830,0.008353349
100836,0.25204894
100872,0.024969975
100910,0.020170268
100913,0.0341689
100918,0.004162442
100931,0.0011131734
100952,0.019665552
100953,0.050685264
100965,0.13505666
100970,0.019559348
100982,0.1729964
100983,0.3974759
100984,0.018122561
100987,0.02714612
100997,0.049027883
100998,0.10570931
101002,0.024617022
101005,0.13748343
101008,0.24961744
101020,0.07111021
101021,0.012088166
101024,0.0051677874
101025,0.06627761
101026,0.016873976
101031,0.0074495543
101041,0.0053022043
101051,0.004057406
101055,0.17181867
101056,0.26796234
101057,0.022229843
101064,0.012982534
101079,0.06419019
101087,0.01132385
101090,0.00789104
101092,0.09807355
101097,0.12623703
101099,0.016838044
101107,0.060488198
101118,0.04028041
101125,0.07409215
101126,0.0118492795
101128,0.014276115
101136,0.082897075
101140,0.18467538
101149,0.1197279
101160,0.05868179
101169,0.21922074
101181,0.009944172
101186,0.0063063307
101190,0.060164783
101193,0.05858921
101194,0.16455995
101198,0.12785698
101200,0.03372621
101204,0.02443788
101211,0.024536312
101213,0.07211501
101223,0.04247638
101225,0.062136278
